43,Legend,"org ranked or local, world champion",,,,,,1070.5,
D,Nongnan Wor Wor Gila Sukothai,Draw,49,5,11/26/2018,229,"Pitsunalok, Thailand",Kard Chuek,televised fight (2 fights same day)
W,Hongmorakot Liangprasert ,KO,60,5,11/8/2018,228,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,ma and pa were visiting - weighed in at 46.5 giving up 13.5 kilos
W,Thanonchanok Kaewsamrit,Decision,54,5,10/26/2018,227,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,former WPMF 48 and 51 kg World Champion
W,Payayong SS Chiang Mai,Decision,52,5,10/8/2018,226,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,former 112 lb Northern Champion
L,Payayong SS Chiang Mai,Decision,52,5,9/24/2018,225,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"corner inexplicably told me to dance off the 5th, former 112 lb Norther Champion"
W,Phetseerung Wor Woragon,TKO,52,4,9/12/2018,224,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,legend Langsuan in my corner
W,Modt Daeng Cherngtalay Muay Thai,doctor stoppage,53,3,8/31/2018,223,"Lopburi, Thailand",Kard Chuek,
L,Palmy A. Santipunt-Lamphun,doctor stoppage,54,3,8/22/2018,222,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"cut in 2nd, stopped in 3rd, vs the 118 lb Northern Champion"
W,Phetseerung Wor Woragon,Decision,53.5,5,8/1/2018,221,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,she's the 53 kg stadium champ
L,Wondergirl Lookjaroonsak,Decision,51,3,7/30/2018,220,"Sport Authority, Bangkok, Thailand",Muay Thai,"round 1 of 4 woman tournament at 51 kg, opponent probably about 53-54 kg "
L,Nong Benz Sitdobwad,Decision,51,5,7/6/2018,219,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,danced off too soon
W,"Nang Hong Liangprasert
",Decision,54,5,6/19/2018,218,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,
W,Hongthong Liangprasert,Decison,57.5,5,6/9/2018,217,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,22% of body weight given up
W,"Nang Hong Liangprasert
",Decision,54,5,6/7/2018,216,"Uttaradit, Thailand",Muay Thai,"fesitival fight in Nang Hong's home town, promoted by her gym"
W,Muangsingjiew Or. Wanchert,Decision,52,5,5/30/2018,215,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"Sawsing, Peach, Chommanee in Muangsingjiew's corner "
W,Nong Benz Sitdobwad,Decision,51,5,5/22/2018,214,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,our 3rd fight but had not fought her in a year and a half
L,Nong Prae Sitjenwong,Decision,54,5,5/4/2018,213,"Roi Et, Isaan, Thailand",Muay Thai,"the guess at her weight was made by Karuhat, the fight was in his home district"
L,Thanonchanok Kaewsamrit,Decision,54,5,4/24/2018,212,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,The 51 kg WPMF world champ
W,Phetseerung Wor Woragon,Decision,52,5,3/19/2018,211,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,
L,Gaewdaa Por Muangphet,Decision,46,5,3/16/2018,210,"Ayutthaya, Thailand",Muay Thai,decision questioned by many
W,Muangsingjiew Or. Wanchert,Decision,52,5,2/28/2018,209,"Pakthongchai, Khorat, Thailand",Muay Thai,multiple rematch
W,Duanpen Sitthongsak,Decision,52,5,2/17/2018,208,"Takop, Khorat, Thailand",Muay Thai,rematch
W,Kawtip Moobangawin,KO ,52,2,1/20/2018,207,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,opponent from Chiangrai
W,Gulabdam Sit Sor. Nor. Lampang,TKO,45,4,1/18/2018,206,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,one of my few weight advantage fights: 45 kg vs 47 kg pre-fight weighin (she became the 105 lb WPMF world champion 7 months later)
D,Phetyodying Mor. Ratchapatjombueng,Decision,52,5,12/29/2017,205,"Suphanburi, Thailand",Kard Chuek,Would win the WBC Bantamweight (118 lb) world boxing title 11 months later
W,Nong Nit Jor. Jaylimchai,TKO,53,3,12/22/2017,204,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,
W,Ticha RR GilaKhorat,Decision,53,5,12/20/2017,203,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"The WMC 51 kg world champion. She weighed in just before the fight at 53, I weighed in at 47."
L,Thaksaporn Intachai,Decision,53,5,11/25/2017,202,"Prachin Buri, Thailand",Kard Chuek,this was bizarre. Kard Cheuk is KO or draw; the fight ended & they decided to give a decision; was told opponent prob. 54 kg
L,Nong Biew,Stoppage,53,5,11/14/2017,201,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,former WPMF World Champion 51 kg
D,Hongkaw Sor. Sayan,Decision,53,5,11/3/2017,200,"Pathum Thani, Thailand",Kard Chuek,my 200th fight
W,Payayong SS Chiangmai,Decision,51.5,5,10/24/2017,199,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,
W,Sudsiam Sor. Sumalee,Decision,58,5,10/9/2017,198,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,
W,Hongthong Liangprasert,Decision,60.5,5,10/8/2017,197,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"before the fight I weighed 47.5 kg, she 60.5 kg"
W,Daolomduan Mekwolum,TKO,45,4,9/28/2017,196,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"Thepprasit 45 kg stadium belt (I weighed in at 44.3, she at 44.7)"
W,Gook Gik Sungilaboplap,TKO,54,4,9/21/2017,195,"Siam Plaza, Nakhon Pathom, Thailand",Kard Chuek,tv: Thai Rath - first western female to fight 3 Kard Cheuk fights
W,Phetseerung Wor. Woragon,TKO,52,4,9/15/2017,194,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,
L,Sudsiam Sor. Sumalee,Decision,58,5,9/14/2017,193,"Chiangmai Boxing Stadium, Chiang Mai, Thailand",Muay Thai,"decision was much disputed by gamblers, but Kevin thought it was fair (lots of early clinch breaks)"
L,Muangsingjiew O. Wanchert,Decision,52,5,8/25/2017,192,"Suphanburi, Thailand",Muay Thai,Karuhat in the corner
W,Nang Hong Liangprasert,Decision,54,5,7/18/2017,191,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,54 kg weighin same night
W,Honey Bor Boondit,Decision,55,5,7/17/2017,190,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,
D,Thaksaporn Intachai,Decision,53,5,7/7/2017,189,"Suphanburi, Thailand",Kard Chuek,First western female to fight Kard Chuek 2x in Thailand - all fights end in KO or draw
W,Gulapkao Giatnoompotong,TKO,55,4,6/29/2017,188,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,55 kg same night weigh in
D,Phetyodying Mor.Ratchapatjombueng,Decision,51,5,6/16/217,187,"Nakhon Pathom, Thailand",Kard Chuek,2nd western female to ever fight Kard Chuek in Thailand - Kard Cheuk rules are all fights end in KO or draw (WBC 118 lb Boxing Champion)
W,Payayong SS Chiangmai,Decision,51.5,5,6/2/2017,186,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,former Northern 112 lb champion - pre-fight weigh in 46.5 vs 51.5 kg
L,Thanonchanok Kaewsamrit,Decision,54,5,5/6/2017,185,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,fighting with broken nose - 51 kg WPMF World Champion
W,Sudsiam Sor. Sumalee,Decision,59,5,5/2/2017,184,"Thapae Stadium, Chiang Mai, Thailand",Muay Thai,"former 118 lb Northern Champion, 11 kg more in prefight weighin - nose still broken"
W,Duanpen Sitthongsak,Decision,52,5,4/22/2017,183,"Wat Magluagao, Khorat, Thailand",Muay Thai,"a champion from Pakthongchai (Kem and Yodwicha in my corner), won 4,000 baht - broke my nose the day before"
W,Nong Ohn Bor. Puiboonput,TKO,47,3,4/10/2017,182,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,Nong Kwangtong Pettonpung,Decision,54,5,4/8/2017,181,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,was not supposed to be fighting her
W,Nong Morakot Liangprasert,TKO,57,4,4/6/2017,180,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
L,Stamp Giatboongern,Decision,49,5,3/28/2017,179,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,49 kg Thepprasit Belt - this is Stamp from the documentary 'Buffalo Girls' (she cut to 49)
W,Sudsiam Sor. Sumalee,Decision,58.5,5,3/16/2017,178,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,an hour before the fight she stepped on the scale at 58.5 - former 118 Muay Siam Northern Champion
W,Nantida Sitweerachat,Decision,53,5,2/25/2017,177,"Nongbuacoke, Isaan, Thailand",Muay Thai,Festival fight
L,Thanonchanok Kaewsamrit,Decsion,54,5,2/20/2017,176,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,Yodying Sor. Sumalee,TKO,51.5,3,2/18/2017,175,"Thapae Stadium, Chiangmai, Thailand",,
W,Nong Mat Huasarayiam,Decision,50,5,2/10/2017,174,"Pak Thong Chai - Wat Lamnangaew, Isaan Thailand",Muay Thai,Festival Fight
L,Zaza Sor. Aree,Decision,52,3,2/6/2017,173,"Bangkok, Thailand",Muay Thai (3x2),"Televised on T-sport, she weighed in at 51.5, I was 46. 3 rounds, 2 minutes - former WPMF World Champion"
L,Faa Chiang Rai Sor. Sakunthong,Decision,48,5,1/29/2017,172,"Lopburi, Thailand",Muay Thai,Festival Fight
W,Baifern Bor. Puiboonput,Decision,53,3,1/24/2017,171,"Kawilla Stadium, Chiangmai, Thailand - televised fight",Muay Thai,"3x3 rounds - Televised USA vs.Thailand promotion. 
"
L,"Nang Hong Liangprasert
",Stoppage,52,2,1/7/2017,170,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"cut stoppage. An hour before the fight weighed in at 48, opponent at 52"
W,Namwan Senyendtaafo,Decision,51,5,12/24/2016,169,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
L,Thanonchanok Kaewsamrit,Decision,54,5,12/23/2016,168,"Kawilla Stadium, Chiangmai, Thailand",Muay Thai,had food poisoning for 24 hrs in this one - Thanonchanok had just defended her world title in early December
W,Hongpet Liangprasert,TKO,52,3,12/21/2016,167,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,
L,Mary Verona Farm,Decision,52,5,12/5/2016,166,"Lumpinee Park, Bangkok, Thailand",Muay Thai,for the WMC 52 kg World Title (probably a 7 kg weight difference in the ring) - Rama 9 (King's Birthday) Memorial Fight
W,Nong Kwangtong Pettonpung,Decision,54,5,11/17/2016,165,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,Thanonchanok Kaewsamrit,Decision,54,5,11/16/2016,164,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,vs the Reigning 108 lb WPMF World Champion (mulitiple title defenses since 2012)
W,Nong Kwangtong Pettonpung,Decision,54,5,11/9/2016,163,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,Nong Benz Sitdobwad,TKO,50.5,3,11/8/2016,162,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"she weighed in at 50.5, me at 48 (in street clothes)"
W,Gretay Sitjaypaa,TKO,52,3,10/8/2016,161,"Nang Rong, Buriram, Thailand",Muay Thai,I fought for the Lookboonmee gym
W,NantidaaSitweerachat,Decision,53,5,10/7/2016,160,"Pakthongchai, Khorat, Thailand",Muay Thai,"original opponent was maybe 56-58, new opponent called in by my sidebet interests about 53"
W,Ochin Sitthongsak,TKO,50,2,9/30/2016,159,"Suranaree Stadium - Korat (Isaan), Thailand",Muay Thai,"5,000 baht sidebet"
W,Nong Fern Nakhonpanom Witayakom,TKO,49,4,9/10/2016,158,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,
L,"Gaewdaa Por. Muangphet
",Decision,48,5,8/22/2016,157,"Suphanburi, Thailand",Muay Thai,"Was supposed to fight Rungnapa, her teammate Gaewdaa a last minute replacement"
L,Loma Lookboonmee,Decision,48,3,8/12/2016,156,"Asiatique, Bangkok, Thailand",Muay Thai,"Was promised that this was a 5 round fight, found our before round 2 that it was only 3. Concussed in the 2nd round on a throw"
W,Nong Naen Mor. Grungtep-Thonburi,TKO,50,4,7/22/2016,155,"Grand Boxing Stadium, Hua Hin, Thailand",Muay Thai,"2,000 baht prize to the winner"
W,Dengaewsa Baengareng Gym,Decision,60,5,6/28/2016,154,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,
W,Phetdawan Sit. Yopayak Lampang,TKO,53,4,6/27/2016,153,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,"derm pan offered to opponent, but refused"
W,Faa Ngaam Wangchompu,TKO,50,4,6/25/2016,152,"Chiangrai University, Chiangrai, Thailand",Muay Thai,"program said 100,000 baht sidebet, have no idea if true"
W,Baifern Bor. Puiboonput,Decision,50,5,6/1/2016,151,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,retribution fight for what many thought was a poor decision 8 months prior
L,Faa Chiang Rai Sor. Sakunthong,Decision,48,5,5/27/2016,150,"Prachin Buri, Thailand",Muay Thai,"no side bet, the opponent didn't want one"
W,Faa Chiang Rai Sor. Sakunthong,Decision,48,5,4/23/2016,149,"Wat Chaiyo, Ang Thong, Thailand",Muay Thai,4th win in a row vs the de jure 105 Northern Muay Siam Champion
W,Phetwapee Chor. Decha (Nong Bow),Decision,50,5,4/16/2016,148,"Hua Hin, Thailand",Muay Thai,"Songkran televised production (a 45 kg champion, 60+ fights), ranked by the WMC"
W,Gaengaew Gor. Glomgliao,Decision,49,5,4/15/2016,147,"Nakhon Nayok, Thailand",Muay Thai ,"20,000 baht sidebet (opponent fought World Champion Saya Ito to a draw the week before)"
W,Rungnapa Por. Muangphet,Decision,48,5,4/13/2016,146,"Santichaiprakan Park, Bangkok, Thailand
",Muay Thai,"Women's Muay Thai Championships Show, Songkran"
W,Duangdaonoi Looklongtan,Decision,48,5,3/17/2016,145,"Ayutthaya, Thailand
",Muay Thai,Duangdaonoi was the 105 lb WPMF Champion in 2015
W,Faa Chiang Rai Sor. Sakunthong,Decision,47.6,5,3/4/2016,144,"Thoeng, Chiangrai, Thailand",Muay Thai,for the 105 lb Muay Siam Northern Thailand belt
W,Faa Chiang Rai Sor. Sakunthong,Decision,48,5,3/1/2016,143,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,she fought traveling for her sport school
W,Nong Som Sor. Wassana,TKO,50,3,2/21/2016,142,"Pakthongchai, Khorat, Thailand",Muay Thai,"10,000 baht sidebet"
L,Jomkwan Sit Tongsak,Decision,50,5,2/13/2016,141,"Rajabhat University, Mahasarakam (Isaan), Thailand",Muay Thai,"40,000 baht sidebet"
W,Gianna Cuello,Decision,48,5,2/5/2016,140,"Grand Thai Boxing Stadium - Hua Hin, Thailand",Muay Thai,"the opponent told me she walks around at the same weight as me, 48 kg"
W,Faa Chiang Rai Sor. Sakunthong,Decision ,47,5,1/15/2016,139,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,Current 105 lb Norther Muay Siam Champion (we both weighed in at 47 kg)
W,Chompu Sor. Penprapa,TKO,48,4,1/8/2016,138,"Rajabhat University, Mahasarakam (Isaan), Thailand",Muay Thai ,"weigh-in at 48 kg - I weighed in at 47.6 (in street clothes), she weighed in at 46.9 "
W,Mintza Por. Somingdam,TKO,55,3,1/5/2016,137,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"program said 52, Pi Nu before the fight was told she is 55 kg"
W,Ploynapa Sakrungruang,TKO,50,2,12/27/2015,136,"Wat Hom Sin, Chon Buri, Thailand",Muay Thai,opponent a former western boxer
L,Loma Lookboonmee,Decision,48,5,12/18/2015,135,"Grand Thai Boxing Stadium - Hua Hin, Thailand",Muay Thai,Gold Medal winner in Thailand Games and the IFMAs
L,Rungnapa Por. Muangphet,Decision,48,5,12/7/2015,134,"Baan Saen, Chonburi, Thailand",Muay Thai,for a Siracha belt
W,Nong Benz Sitdobwad,TKO,48,3,12/3/2015,133,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,"former stadium champion, current #2 Muay Siam 105 lb fighter (lost to Faa Chiangrai for the belt)"
L,Muangsingjiew O. Wanchert,Decision,51,5,11/30/2015,132,"Lopburi, Thailand",Muay Thai,"took the fight on 1 day notice, her coach was the fight promotor, I had no corner so her teammate cornered for me"
W,Chalaamlek Phetdaotaan,Decision,51,5,11/25/2015,131,"Sattahip, Thailand",Muay Thai,Loi Krathong Championship Belt fight
W,"Gaewdaa Por. Muangphet
",Decision,48,5,11/17/2015,130,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"5x3 minute rounds were agreed upon, but the time keeper timed almost all of them to 2 minutes"
W,Plaatutong Por. Giat Gym,TKO ,50,4,11/9/2015,129,"Udon Thani, Thailand",Muay Thai,broken hand - my 50th TKO 
W,Rungnapa Por. Muangphet,Decision,48,5,11/8/2015,128,"Chon Buri, Thailand",Muay Thai,broken hand - Chon Buri Buffalo Race Festival Belt - won it 2nd year in a row
W,Nongnui Sitdobwad,TKO knees,50,3,11/2/2015,127,"Chiang Mai Boxing Stadium, Thailand",Muay Thai,broken hand - first fight at the brand new Chiang Mai Boxing Stadium
W,Rungnapa Por. Muangphet,Decision,48,5,10/20/2015,126,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,broken hand
L,Baifern Bor. Puiboonput,Decision,50,5,10/7/2015,125,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"broken hand - the promoter, venue owner and many in attendence thought I won this fight - bad decisions are rare"
L,"Gaewdaa Por. Muangphet
",Decision,46,5,9/29/2015,124,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"broken hand - I weighed in at 45.9 kg, she did not"
L,Cherry Gor. Twin Gym,Decision,50,3,8/21/2015,123,"Savan Vegas Casino, Laos ",Muay Thai (3x2),broken hand - prelims of a 4 woman 50 kg tournament
L,Gaewdtaa Por. Muangphet,Decision,46,3,8/12/2015,122,"Sanam Luang, Bangkok Thailand",Muay Thai (3x2),broken hand - Queen's Birthday
W,Jomkwan Sit Tongsak,Decision,50,5,8/5/2015,121,"Suranaree Stadium - Korat (Isaan), Thailand",Muay Thai,"broken hand - she beat WMC flyweight champion Rika shortly before, was on a 16-fight win streak
"
L,Nong Ying Pettonpung,Decision,54,5,7/5/2015,120,"Loi Kroh - Chiang Mai, Thailand",Muay Thai,broken hand
W,Kradaitong Por. Promin,"Decision
",51,5,7/3/2015,119,"Grand Thai Boxing Stadium, Hua Hin, Thailand",Muay Thai,broke my hand in this fight
W,Superball Paladon Gym,"TKO knee
",48,1,6/12/2015,118,"Grand Thai Boxing Stadium, Hua Hin, Thailand",Muay Thai ,"First 1st round KO in over 100 fights - ranked WPMF 8th in the world at 100 lb
"
W,"Nang Hong Liangprasert
",Decision,53,5,6/4/2015,117,"Thapae Stadium, Chiangmai, Thailand",Muay Thai,"she informally weighed in at 54 kg
"
L,Cherry Gor. Twin Gym,"Decision
",52,5,5/1/2015,116,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,"20,000 baht sidebet 2-1 odds against 2nd Ranked WPMF 49 kg challenger
"
W,"Rungtiwa Giatmongkol
",TKO,52,3,"4/27/2015
",115,"Laem Ngop, Trat, Thailand",Muay Thai,festival fight
W,Nongmai Sor. Phetphupan,TKO knees,52,3,"4/25/2015
",114,"Sa Gaew, Thailand",Muay Thai,"was due to fight Faa Chiang Rai, fought this girl from Phayao instead"
L,Loma Lookboonmee,Decision,48,5,"4/19/2015
",113,"Bang Saray, Chonburi, Thailand
",Muay Thai,"20,000 baht side bet, songkron festival fight "
L,Lookget Payalampong,Decision,48,5,4/11/2015,112,"Wat Sukhantha Silaram, Chathoengsao, Thailand",Muay Thai,
L,Nong Rung Sitkrudaeng,Decision,50,5,"3/26/2015
",111,"Wat Nong Bon, Chantaburi, Thailand",Muay Thai ,"100,000 baht side bet, festival fight"
W,Saotai Sor. Somgiat Gym,TKO,53,3,3/17/2015,110,"Ayutthaya, Thailand
",Muay Thai,"Nai Khanomtom Day festival - last minute replacement, was due to fight Muangsingjiew"
W,Lookget Payalampong,TKO knees,48,4,3/8/2015,109,"Wat Bung San, Khorat, Thailand",Muay Thai,"100,000 baht side bet, festival fight"
W,Gaewdtaa Por. Muangphet,Decision,48,5,2/22/2015,108,"Wat Udom Mongkol, Charoensao, Thailand",Muay Thai,"rematch - 10,000 baht fight"
L,Nong Faa Tor Buamas,Decision,50,3,2/20/2015,107,"Khon Kaen, Issan, Thailand",Muay Thai (3x2),fight televised live on channel 11
L,Loma Lookboonmee,Decision,48,5,2/15/2015,106,"Pakthongchai, Khorat, Thailand",Muay Thai,Former WMC World Champion 
L,Thanonchanok Kaewsamrit,Decision ,51,5,2/9/2015,105,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,WPMF 108 lb world champion since Dec 2012
W,Baifern Bor. Puiboonput,Decision,50,5,2/6/2015,104,"Kalare Stadium, Chiangmai, Thailand",Muay Thai,Loi Kroh Champion
W,Muangsingjiew O. Wanchert,Decision,47,5,1/25/2015,103,"Don Chedi Monument, Thailand",Muay Thai,3rd fight between us
W,Muangsingjiew O. Wanchert,Decision,46,3,1/4/2015,102,"Max Muay Thai Stadium, Pattaya, Thailand",Muay Thai (3x3),opponent 6th ranked Pinweight by WPMF
W,Phetnaree Phetsakchai,TKO knees,52,3,12/30/2014,101,"Surin, Thailand",Muay Thai,
W,Cherry Sityodtong,TKO knees,47,4,12/15/2014,100,"Pattaya, Thepprasit Stadium, Thailand",Muay Thai,"Ching Champ 47 kg Thepprasit Stadium belt, Cherry defending"
W,Thaksaporn Intachai,Decision ,51,5,12/5/2014,99,"Hua Hin, Thailand",Muay Thai,"King's Birthday Fight - org. ""Daenraam Tor. Namchai"", also ""Thaksaporn Kiatpompetch"" - originally 49 kg, her coach said 51"
W,Chalaamlek Phetdaotaan,Decision,52,5,12/1/2014,98,"Thepprasit Stadium, Pattaya, Thailand",Muay Thai,"won a cup for ""Excellent Female Muay Thai"""
W,Nongnoon Mor. Grungteptonburi,TKO knees,56,3,11/18/2014,97,"Siracha, Thailand",Muay Thai,won a 50 kg Siracha belt - opponent once a WIBA ranked boxer
W,Saochongaen Sor. Sampon,TKO knees,49,3,11/16/2014,96,"Bangkok, Thailand",Muay Thai,
W,Nuunamchok Sor. Wilaachat,TKO knees,55,2,11/15/2014,95,"Satuek (Isaan), Thailand",Muay Thai,festival fight in Isaan
W,Muaylek O. Janubon,Decision,48,4,11/6/2014,94,"Prachin Buri, Thailand",Muay Thai (4x2),Loi Krathong festival fight (only a 4 round fight)
D,Chalaamlek Phetdaotaan,Decision,52,5,11/5/2014,93,"Sattahip, Thailand",Muay Thai,"Sattahip 52 kg championiship belt - promotor called to apologize for the decision, caused by a large bet placed against me"
W,"""Kanda Por. Muangphet""",TKO,49,2,11/1/2014,92,"Phutthaisong (Isaan), Thailand",Muay Thai (3x2),"festival fight in Phutthaisong (opponent switched, name listed is only the name on the card)"
W,Tawan Sitpoosak Rasidtong,TKO knees,55,3,10/26/2014,91,"Rayong, Thailand",Muay Thai (3x2),a festival fight with O. Meekhun
W,Kangwan Sor. Praithong,TKO knees,55,3,10/25/2014,90,"Bangkok (Pinklao), Thailand",Muay Thai,with Master Toddy's gym
W,Namdtan  A. Sit. Thailand,TKO knees,50,4,10/17/2014,89,"near Phutthaisong (Isaan), Thailand",Muay Thai,
